Answer Page,Metric,Company,Year,Value,Source Page,Answer ID,Original Source,Source Count,Comments,ISIN
https://wikirate.org/~10223777,Commons+Address,MACDUFF SHELLFISH (SCOTLAND) LIMITED,2021,PINSENT MASONS LLP 13 Queens Road Aberdeen Scotland AB15 4YL,https://wikirate.org/~8066337,10223777.0,https://downloads.modern-slavery-statement-registry.service.gov.uk/publicdownloads/StatementSummaries2021.csv,1.0,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+MACDUFF_SHELLFISH_SCOTLAND_LIMITED+2019,Walk Free+Australian MSA Registry Submission,MACDUFF SHELLFISH (SCOTLAND) LIMITED,2019,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+MACDUFF_SHELLFISH_SCOTLAND_LIMITED+2019,Walk Free+Australian MSA statement assessed,MACDUFF SHELLFISH (SCOTLAND) LIMITED,2019,No,,,,,,
https://wikirate.org/Walk_Free+Company_size+MACDUFF_SHELLFISH_SCOTLAND_LIMITED+2019,Walk Free+Company size,MACDUFF SHELLFISH (SCOTLAND) LIMITED,2019,Small,,,,,,
https://wikirate.org/Walk_Free+Company_size+MACDUFF_SHELLFISH_SCOTLAND_LIMITED+2020,Walk Free+Company size,MACDUFF SHELLFISH (SCOTLAND) LIMITED,2020,Small,,,,,,
https://wikirate.org/Core+Country+MACDUFF_SHELLFISH_SCOTLAND_LIMITED+2019,Core+Country,MACDUFF SHELLFISH (SCOTLAND) LIMITED,2019,United Kingdom,,,,,,
https://wikirate.org/GreenDex+Country+MACDUFF_SHELLFISH_SCOTLAND_LIMITED+2019,GreenDex+Country,MACDUFF SHELLFISH (SCOTLAND) LIMITED,2019,United Kingdom,,,,,,
https://wikirate.org/Commons+Employee+MACDUFF_SHELLFISH_SCOTLAND_LIMITED+2017,Commons+Employee,MACDUFF SHELLFISH (SCOTLAND) LIMITED,2017,250 to 499,,,,,,
https://wikirate.org/Commons+Employee+MACDUFF_SHELLFISH_SCOTLAND_LIMITED+2018,Commons+Employee,MACDUFF SHELLFISH (SCOTLAND) LIMITED,2018,250 to 499,,,,,,
https://wikirate.org/Commons+Employee+MACDUFF_SHELLFISH_SCOTLAND_LIMITED+2020,Commons+Employee,MACDUFF SHELLFISH (SCOTLAND) LIMITED,2020,250 to 499,,,,,,
https://wikirate.org/Commons+Employee+MACDUFF_SHELLFISH_SCOTLAND_LIMITED+2021,Commons+Employee,MACDUFF SHELLFISH (SCOTLAND) LIMITED,2021,250 to 499,,,,,,
https://wikirate.org/Commons+Employee+MACDUFF_SHELLFISH_SCOTLAND_LIMITED+2022,Commons+Employee,MACDUFF SHELLFISH (SCOTLAND) LIMITED,2022,250 to 499,,,,,,
https://wikirate.org/Commons+Employee+MACDUFF_SHELLFISH_SCOTLAND_LIMITED+2023,Commons+Employee,MACDUFF SHELLFISH (SCOTLAND) LIMITED,2023,250 to 499,,,,,,
https://wikirate.org/~9593117,GOV.UK Gender Pay Gap Service+Employer Size,MACDUFF SHELLFISH (SCOTLAND) LIMITED,2017,250 to 499,https://wikirate.org/~8767248,9593117.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2017,1.0,,
https://wikirate.org/~9614463,GOV.UK Gender Pay Gap Service+Employer Size,MACDUFF SHELLFISH (SCOTLAND) LIMITED,2018,250 to 499,https://wikirate.org/~8767324,9614463.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2018,1.0,,
https://wikirate.org/~9629731,GOV.UK Gender Pay Gap Service+Employer Size,MACDUFF SHELLFISH (SCOTLAND) LIMITED,2020,250 to 499,https://wikirate.org/~8767440,9629731.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2020,1.0,,
https://wikirate.org/~12949558,GOV.UK Gender Pay Gap Service+Employer Size,MACDUFF SHELLFISH (SCOTLAND) LIMITED,2021,250 to 499,https://wikirate.org/~12654979,12949558.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2021,1.0,,
https://wikirate.org/~15020911,GOV.UK Gender Pay Gap Service+Employer Size,MACDUFF SHELLFISH (SCOTLAND) LIMITED,2022,250 to 499,https://wikirate.org/~14619205,15020911.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2022,1.0,,
https://wikirate.org/~19131187,GOV.UK Gender Pay Gap Service+Employer Size,MACDUFF SHELLFISH (SCOTLAND) LIMITED,2023,250 to 499,https://wikirate.org/~18845659,19131187.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2023,1.0,,
https://wikirate.org/Walk_Free+Financial_Services_Sector+MACDUFF_SHELLFISH_SCOTLAND_LIMITED+2019,Walk Free+Financial Services Sector,MACDUFF SHELLFISH (SCOTLAND) LIMITED,2019,No,,,,,,
https://wikirate.org/Walk_Free+Food_Beverages_Sector+MACDUFF_SHELLFISH_SCOTLAND_LIMITED+2019,Walk Free+Food & Beverages Sector,MACDUFF SHELLFISH (SCOTLAND) LIMITED,2019,Yes,,,,,,
https://wikirate.org/Walk_Free+Garment_Sector+MACDUFF_SHELLFISH_SCOTLAND_LIMITED+2019,Walk Free+Garment Sector,MACDUFF SHELLFISH (SCOTLAND) LIMITED,2019,No,,,,,,
https://wikirate.org/Core+Headquarters_Location+MACDUFF_SHELLFISH_SCOTLAND_LIMITED+2019,Core+Headquarters Location,MACDUFF SHELLFISH (SCOTLAND) LIMITED,2019,United Kingdom,,,,,,
https://wikirate.org/Walk_Free+Hospitality_Sector+MACDUFF_SHELLFISH_SCOTLAND_LIMITED+2019,Walk Free+Hospitality Sector,MACDUFF SHELLFISH (SCOTLAND) LIMITED,2019,No,,,,,,
https://wikirate.org/Core+ILO_Region+MACDUFF_SHELLFISH_SCOTLAND_LIMITED+2019,Core+ILO Region,MACDUFF SHELLFISH (SCOTLAND) LIMITED,2019,Europe and Central Asia,,,,,,
https://wikirate.org/~9347617,Home Office+MS Statement Includes Due Diligence,MACDUFF SHELLFISH (SCOTLAND) LIMITED,2019,Yes,https://wikirate.org/~9135362,9347617.0,https://downloads.modern-slavery-statement-registry.service.gov.uk/publicdownloads/StatementSummaries2020.csv,3.0,,
