Answer Page,Metric,Company,Year,Value,Source Page,Answer ID,Original Source,Source Count,Comments,ISIN
https://wikirate.org/~4762193,Commons+Address,KETTLE FOODS LTD,2018,"BOWTHORPE, BARNARD ROAD, NORWICH, NORFOLK, NR5 9JP, UNITED KINGDOM",https://wikirate.org/~4710595,4762193.0,,1.0,,
https://wikirate.org/~6982632,Commons+Address,KETTLE FOODS LTD,2020,BARNARD ROAD BOWTHORPE NORWICH NORFOLK NR5 9JP,https://wikirate.org/~6969793,6982632.0,,1.0,,
https://wikirate.org/~17684572,Commons+Address,KETTLE FOODS LTD,2022,38 Barnard Road Bowthorpe Employment Area Norwich Norfolk NR5 9JP,https://wikirate.org/~16850554,17684572.0,https://downloads.modern-slavery-statement-registry.service.gov.uk/publicdownloads/StatementSummaries2023.csv,1.0,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+KETTLE_FOODS_LTD+2021,Walk Free+Australian MSA Registry Submission,KETTLE FOODS LTD,2021,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+KETTLE_FOODS_LTD+2022,Walk Free+Australian MSA Registry Submission,KETTLE FOODS LTD,2022,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+KETTLE_FOODS_LTD+2023,Walk Free+Australian MSA Registry Submission,KETTLE FOODS LTD,2023,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+KETTLE_FOODS_LTD+2021,Walk Free+Australian MSA statement assessed,KETTLE FOODS LTD,2021,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+KETTLE_FOODS_LTD+2022,Walk Free+Australian MSA statement assessed,KETTLE FOODS LTD,2022,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+KETTLE_FOODS_LTD+2023,Walk Free+Australian MSA statement assessed,KETTLE FOODS LTD,2023,No,,,,,,
https://wikirate.org/Commons+Company_Category+KETTLE_FOODS_LTD+2019,Commons+Company Category,KETTLE FOODS LTD,2019,M,,,,,,
https://wikirate.org/Walk_Free+Company_size+KETTLE_FOODS_LTD+2020,Walk Free+Company size,KETTLE FOODS LTD,2020,Small,,,,,,
https://wikirate.org/Walk_Free+Company_size+KETTLE_FOODS_LTD+2021,Walk Free+Company size,KETTLE FOODS LTD,2021,Medium,,,,,,
https://wikirate.org/Walk_Free+Company_size+KETTLE_FOODS_LTD+2022,Walk Free+Company size,KETTLE FOODS LTD,2022,Medium,,,,,,
https://wikirate.org/Walk_Free+Company_size+KETTLE_FOODS_LTD+2023,Walk Free+Company size,KETTLE FOODS LTD,2023,Medium,,,,,,
https://wikirate.org/Core+Country+KETTLE_FOODS_LTD+2019,Core+Country,KETTLE FOODS LTD,2019,United Kingdom,,,,,,
https://wikirate.org/GreenDex+Country+KETTLE_FOODS_LTD+2019,GreenDex+Country,KETTLE FOODS LTD,2019,United Kingdom,,,,,,
https://wikirate.org/Commons+Employee+KETTLE_FOODS_LTD+2017,Commons+Employee,KETTLE FOODS LTD,2017,250 to 499,,,,,,
https://wikirate.org/Commons+Employee+KETTLE_FOODS_LTD+2018,Commons+Employee,KETTLE FOODS LTD,2018,250 to 499,,,,,,
https://wikirate.org/Commons+Employee+KETTLE_FOODS_LTD+2019,Commons+Employee,KETTLE FOODS LTD,2019,250 to 499,,,,,,
https://wikirate.org/Commons+Employee+KETTLE_FOODS_LTD+2020,Commons+Employee,KETTLE FOODS LTD,2020,250 to 499,,,,,,
https://wikirate.org/Commons+Employee+KETTLE_FOODS_LTD+2021,Commons+Employee,KETTLE FOODS LTD,2021,250 to 499,,,,,,
https://wikirate.org/Commons+Employee+KETTLE_FOODS_LTD+2022,Commons+Employee,KETTLE FOODS LTD,2022,250 to 499,,,,,,
https://wikirate.org/Commons+Employee+KETTLE_FOODS_LTD+2023,Commons+Employee,KETTLE FOODS LTD,2023,250 to 499,,,,,,
https://wikirate.org/~9591719,GOV.UK Gender Pay Gap Service+Employer Size,KETTLE FOODS LTD,2017,250 to 499,https://wikirate.org/~8767248,9591719.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2017,1.0,,
https://wikirate.org/~9614001,GOV.UK Gender Pay Gap Service+Employer Size,KETTLE FOODS LTD,2018,250 to 499,https://wikirate.org/~8767324,9614001.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2018,1.0,,
https://wikirate.org/~9621737,GOV.UK Gender Pay Gap Service+Employer Size,KETTLE FOODS LTD,2019,250 to 499,https://wikirate.org/~8767384,9621737.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2019,1.0,,
https://wikirate.org/~9629279,GOV.UK Gender Pay Gap Service+Employer Size,KETTLE FOODS LTD,2020,250 to 499,https://wikirate.org/~8767440,9629279.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2020,1.0,,
https://wikirate.org/~12948193,GOV.UK Gender Pay Gap Service+Employer Size,KETTLE FOODS LTD,2021,250 to 499,https://wikirate.org/~12654979,12948193.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2021,1.0,,
https://wikirate.org/~15019377,GOV.UK Gender Pay Gap Service+Employer Size,KETTLE FOODS LTD,2022,250 to 499,https://wikirate.org/~14619205,15019377.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2022,1.0,,
https://wikirate.org/~19233194,GOV.UK Gender Pay Gap Service+Employer Size,KETTLE FOODS LTD,2023,250 to 499,https://wikirate.org/~18845659,19233194.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2023,1.0,,
https://wikirate.org/Apparel_Research_Group+Female_Supply_Chain_Workers_Disclosed+KETTLE_FOODS_LTD+2018,Apparel Research Group+Female Supply Chain Workers Disclosed,KETTLE FOODS LTD,2018,27,,,,,,
https://wikirate.org/Apparel_Research_Group+Female_Supply_Chain_Workers_Disclosed+KETTLE_FOODS_LTD+2020,Apparel Research Group+Female Supply Chain Workers Disclosed,KETTLE FOODS LTD,2020,27,,,,,,
https://wikirate.org/~4762212,Clean Clothes Campaign+Female Workers %,KETTLE FOODS LTD,2018,27,https://wikirate.org/~4710595,4762212.0,,1.0,,
https://wikirate.org/~7355020,Clean Clothes Campaign+Female Workers %,KETTLE FOODS LTD,2020,27,https://wikirate.org/~6969793,7355020.0,,1.0,,
https://wikirate.org/Walk_Free+Financial_Services_Sector+KETTLE_FOODS_LTD+2021,Walk Free+Financial Services Sector,KETTLE FOODS LTD,2021,No,,,,,,
https://wikirate.org/Walk_Free+Financial_Services_Sector+KETTLE_FOODS_LTD+2022,Walk Free+Financial Services Sector,KETTLE FOODS LTD,2022,No,,,,,,
https://wikirate.org/Walk_Free+Financial_Services_Sector+KETTLE_FOODS_LTD+2023,Walk Free+Financial Services Sector,KETTLE FOODS LTD,2023,No,,,,,,
https://wikirate.org/Walk_Free+Food_Beverages_Sector+KETTLE_FOODS_LTD+2021,Walk Free+Food & Beverages Sector,KETTLE FOODS LTD,2021,Yes,,,,,,
https://wikirate.org/Walk_Free+Food_Beverages_Sector+KETTLE_FOODS_LTD+2022,Walk Free+Food & Beverages Sector,KETTLE FOODS LTD,2022,Yes,,,,,,
https://wikirate.org/Walk_Free+Food_Beverages_Sector+KETTLE_FOODS_LTD+2023,Walk Free+Food & Beverages Sector,KETTLE FOODS LTD,2023,Yes,,,,,,
https://wikirate.org/Walk_Free+Garment_Sector+KETTLE_FOODS_LTD+2021,Walk Free+Garment Sector,KETTLE FOODS LTD,2021,No,,,,,,
https://wikirate.org/Walk_Free+Garment_Sector+KETTLE_FOODS_LTD+2022,Walk Free+Garment Sector,KETTLE FOODS LTD,2022,No,,,,,,
https://wikirate.org/Walk_Free+Garment_Sector+KETTLE_FOODS_LTD+2023,Walk Free+Garment Sector,KETTLE FOODS LTD,2023,No,,,,,,
https://wikirate.org/Core+Headquarters_Location+KETTLE_FOODS_LTD+2019,Core+Headquarters Location,KETTLE FOODS LTD,2019,United Kingdom,,,,,,
https://wikirate.org/Walk_Free+Hospitality_Sector+KETTLE_FOODS_LTD+2021,Walk Free+Hospitality Sector,KETTLE FOODS LTD,2021,No,,,,,,
https://wikirate.org/Walk_Free+Hospitality_Sector+KETTLE_FOODS_LTD+2022,Walk Free+Hospitality Sector,KETTLE FOODS LTD,2022,No,,,,,,
https://wikirate.org/Walk_Free+Hospitality_Sector+KETTLE_FOODS_LTD+2023,Walk Free+Hospitality Sector,KETTLE FOODS LTD,2023,No,,,,,,
https://wikirate.org/~13737362,Home Office+ILO Indicators in MS Statement,KETTLE FOODS LTD,2020,"Abuse of vulnerability, Restriction of movement, Isolation, Physical and sexual violence, Intimidation and threats, Retention of identity documents",https://wikirate.org/~13682115,13737362.0,https://modern-slavery-statement-registry.service.gov.uk/statement-summary/EFnAsf7T/2021,2.0,,
https://wikirate.org/~13826266,Home Office+ILO Indicators in MS Statement,KETTLE FOODS LTD,2021,"Abuse of vulnerability, Restriction of movement, Isolation, Physical and sexual violence, Intimidation and threats, Retention of identity documents",https://wikirate.org/~13796764,13826266.0,,3.0,,
https://wikirate.org/~16635977,Home Office+ILO Indicators in MS Statement,KETTLE FOODS LTD,2022,"Isolation, Retention of identity documents, Withholding of wages, Abusive working and living conditions",https://wikirate.org/~16523407,16635977.0,https://modern-slavery-statement-registry.service.gov.uk/statement-summary/EFnAsf7T/2023,2.0,,
https://wikirate.org/~20196405,Home Office+ILO Indicators in MS Statement,KETTLE FOODS LTD,2023,"Isolation, Retention of identity documents, Abusive working and living conditions",https://wikirate.org/~19908225,20196405.0,https://modern-slavery-statement-registry.service.gov.uk/statement-summary/EFnAsf7T/2024,2.0,,
https://wikirate.org/Core+ILO_Region+KETTLE_FOODS_LTD+2019,Core+ILO Region,KETTLE FOODS LTD,2019,Europe and Central Asia,,,,,,
https://wikirate.org/Commons+Industry+KETTLE_FOODS_LTD+2019,Commons+Industry,KETTLE FOODS LTD,2019,C,,,,,,
https://wikirate.org/ISIC+Industry_Class+KETTLE_FOODS_LTD+2019,ISIC+Industry Class,KETTLE FOODS LTD,2019,1079,,,,,,
https://wikirate.org/~5169509,OpenCorporates+Industry Class,KETTLE FOODS LTD,2019,1079,https://wikirate.org/~5169501,5169509.0,https://opencorporates.com/companies/gb/02238320,1.0,,
https://wikirate.org/ISIC+Industry_Division+KETTLE_FOODS_LTD+2019,ISIC+Industry Division,KETTLE FOODS LTD,2019,10,,,,,,
https://wikirate.org/ISIC+Industry_Group+KETTLE_FOODS_LTD+2019,ISIC+Industry Group,KETTLE FOODS LTD,2019,107,,,,,,
https://wikirate.org/ISIC+Industry_Section+KETTLE_FOODS_LTD+2019,ISIC+Industry Section,KETTLE FOODS LTD,2019,C,,,,,,
https://wikirate.org/~4762198,Clean Clothes Campaign+Labour Union,KETTLE FOODS LTD,2018,No,https://wikirate.org/~4710595,4762198.0,,1.0,,
https://wikirate.org/~7420285,Clean Clothes Campaign+Labour Union,KETTLE FOODS LTD,2020,Yes,https://wikirate.org/~6969793,7420285.0,,1.0,,
https://wikirate.org/~13734483,Home Office+MS Statement Grievance Mechanism Provisions,KETTLE FOODS LTD,2020,"Using anonymous whistleblowing services such as a helpline or mobile phone app, Through trade unions or other worker representative groups",https://wikirate.org/~13682115,13734483.0,https://modern-slavery-statement-registry.service.gov.uk/statement-summary/EFnAsf7T/2021,2.0,,
